Čas,WE_NH3,AE_NH3
2024-01-01T00:10:00Z,0.348333329,0.280000001
2024-01-01T00:20:00Z,0.3498333275,0.280000001
2024-01-01T00:30:00Z,0.349999994,0.280000001
2024-01-01T00:40:00Z,0.349999994,0.280000001
2024-01-01T00:50:00Z,0.3546666705,0.280000001
2024-01-01T01:00:00Z,0.360000014,0.280000001
2024-01-01T01:10:00Z,0.356500007,0.280000001
2024-01-01T01:20:00Z,0.355500005,0.280000001
2024-01-01T01:30:00Z,0.350499995,0.280000001
2024-01-01T01:40:00Z,0.350166661,0.280000001
2024-01-01T01:50:00Z,0.354833337,0.280000001
2024-01-01T02:00:00Z,0.349999994,0.280000001
2024-01-01T02:10:00Z,0.3415000025,0.280000001
2024-01-01T02:20:00Z,0.34083333641667,0.280000001
2024-01-01T02:30:00Z,0.36016667616667,0.280000001
2024-01-01T02:40:00Z,0.3491666615,0.280000001
2024-01-01T02:50:00Z,0.3474999965,0.280000001
2024-01-01T03:00:00Z,0.3458333315,0.280000001
2024-01-01T03:10:00Z,0.34350000048333,0.280000001
2024-01-01T03:20:00Z,0.3438333335,0.280000001
2024-01-01T03:30:00Z,0.351999998,0.280000001
2024-01-01T03:40:00Z,0.357666676,0.280000001
2024-01-01T03:50:00Z,0.348999999,0.280000001
2024-01-01T04:00:00Z,0.3411666695,0.280000001
2024-01-01T04:10:00Z,0.355166671,0.280000001
2024-01-01T04:20:00Z,0.351833331,0.280000001
2024-01-01T04:30:00Z,0.356166673,0.280000001
2024-01-01T04:40:00Z,0.36466667646667,0.280000001
2024-01-01T04:50:00Z,0.3711666705,0.280000001
2024-01-01T05:00:00Z,0.37166667,0.280000001
2024-01-01T05:10:00Z,0.36916667241667,0.280000001
2024-01-01T05:20:00Z,0.360000014,0.280000001
2024-01-01T05:30:00Z,0.360000014,0.280000001
2024-01-01T05:40:00Z,0.360000014,0.280000001
2024-01-01T05:50:00Z,0.354166669,0.280000001
2024-01-01T06:00:00Z,0.352166665,0.280000001
2024-01-01T06:10:00Z,0.35900000958333,0.280000001
2024-01-01T06:20:00Z,0.36916667241667,0.280000001
2024-01-01T06:30:00Z,0.376666665,0.280000001
2024-01-01T06:40:00Z,0.379999995,0.280000001
