Čas,PM_1,PM_2.5,PM_10
2024-01-01T00:10:00Z,12.740999905217,16.5543333365,20.279000012167
2024-01-01T00:20:00Z,9.9848333358167,12.91833334,15.395666726167
2024-01-01T00:30:00Z,10.30133329995,13.373666684167,15.3654999575
2024-01-01T00:40:00Z,9.7356666884333,12.481833330817,14.718666585667
2024-01-01T00:50:00Z,8.3501666069,10.508166726667,11.779333272833
2024-01-01T01:00:00Z,8.2233333031167,10.416999943617,12.2008333202
2024-01-01T01:10:00Z,8.5381666897333,10.897666661033,13.025999975533
2024-01-01T01:20:00Z,10.671000019433,13.9171666469,16.560000007
2024-01-01T01:30:00Z,10.457666659467,13.573666620067,16.621166674767
2024-01-01T01:40:00Z,10.2876666947,13.244000022183,16.182666619683
2024-01-01T01:50:00Z,9.92166664585,12.537166675017,14.737833357667
2024-01-01T02:00:00Z,10.722666621167,13.845333369317,16.91250003155
2024-01-01T02:10:00Z,9.6643332797,12.3691667242,14.6671666305
2024-01-01T02:20:00Z,8.1138333479333,10.283166702617,11.939500077683
2024-01-01T02:30:00Z,8.98466667325,11.373499966,13.445499992417
2024-01-01T02:40:00Z,7.9586666345667,9.9878332537167,11.685000006117
2024-01-01T02:50:00Z,7.8951666593833,9.7370000208,10.967666642067
2024-01-01T03:00:00Z,8.7906666674833,11.0145000301,12.0835000036
2024-01-01T03:10:00Z,8.6400000413167,10.760333299417,11.914333232333
2024-01-01T03:20:00Z,7.3185000101667,9.0009999911,9.4436667126167
2024-01-01T03:30:00Z,6.7081666469333,8.21883329555,9.0544999758833
2024-01-01T03:40:00Z,6.9553333679667,8.6119999884833,9.7088333289167
2024-01-01T03:50:00Z,6.5779999972167,8.1296666622833,8.9463333212
2024-01-01T04:00:00Z,6.18100001815,7.6030000368833,9.6121666509833
2024-01-01T04:10:00Z,7.1168333053333,9.09600000375,11.531833330967
2024-01-01T04:20:00Z,5.9869999806167,7.4251666784667,8.4886666853333
2024-01-01T04:30:00Z,8.4376666386167,10.947833362967,12.876499955067
2024-01-01T04:40:00Z,10.74666666195,15.030666621567,18.67083326975
2024-01-01T04:50:00Z,17.59133331085,28.3425000665,34.831833378667
2024-01-01T05:00:00Z,17.967666610333,27.053833293833,31.580499999167
2024-01-01T05:10:00Z,14.1183334348,20.1678333285,22.346333345167
2024-01-01T05:20:00Z,9.7189999659167,13.185833294967,15.232833306167
2024-01-01T05:30:00Z,7.1778333028,9.56566663615,11.033166646817
2024-01-01T05:40:00Z,7.0340000073333,9.4143333672833,11.084666721267
2024-01-01T05:50:00Z,8.43849996705,11.902666655767,15.734666728933
2024-01-01T06:00:00Z,7.78000001135,11.167333284867,17.65549995105
2024-01-01T06:10:00Z,4.2818333507,5.8820000171667,9.61416669275
2024-01-01T06:20:00Z,3.6833333334167,5.0258333364833,9.8296667372833
2024-01-01T06:30:00Z,2.16033332745,3.225666674,6.3545000352
2024-01-01T06:40:00Z,2.0171666582333,2.9501666823333,5.1913333176833
2024-01-01T06:50:00Z,1.6129999995,2.436833332,3.9408333360167
2024-01-01T07:00:00Z,1.14149999925,1.8428333402333,2.9103333294
2024-01-01T07:10:00Z,1.0616666614833,1.77433334585,2.8864999949167
2024-01-01T07:20:00Z,1.0414999961833,1.7960000098,3.08200003515
2024-01-01T07:30:00Z,1.1164999922,1.7994999905667,3.1606666645667
2024-01-01T07:40:00Z,1.2346666683167,2.0219999909167,2.8106666605833
2024-01-01T07:50:00Z,1.7030000012,2.5928333500833,3.3138333300667
